analysis,level,statistic,value,n
3.1_correlation,row,pearson_Inspection_Score_vs_Violation_Points,0.5282,92189
3.1_correlation,row,spearman_Inspection_Score_vs_Violation_Points,0.7985,92189
3.1_correlation,row,pearson_Inspection_Score_vs_Risk_Category,0.1753,92189
3.1_correlation,row,spearman_Inspection_Score_vs_Risk_Category,0.2259,92189
3.1_correlation,row,pearson_Inspection_Score_vs_Grade_ord,-0.5369,92189
3.1_correlation,row,spearman_Inspection_Score_vs_Grade_ord,-0.5511,92189
3.1_correlation,row,pearson_Inspection_Score_vs_Result_enc,0.6105,92189
3.1_correlation,row,spearman_Inspection_Score_vs_Result_enc,0.8215,92189
3.1_correlation,row,pearson_Inspection_Score_vs_Closed,0.0517,92189
3.1_correlation,row,spearman_Inspection_Score_vs_Closed,0.0256,92189
3.1_correlation,row,pearson_Inspection_Score_vs_is_red,0.383,92189
3.1_correlation,row,spearman_Inspection_Score_vs_is_red,0.5107,92189
3.1_correlation,row,pearson_Inspection_Score_vs_is_blue,0.1674,92189
3.1_correlation,row,spearman_Inspection_Score_vs_is_blue,0.3272,92189
3.1_correlation,row,pearson_Violation_Points_vs_Risk_Category,0.1387,92189
3.1_correlation,row,spearman_Violation_Points_vs_Risk_Category,0.1783,92189
3.1_correlation,row,pearson_Violation_Points_vs_Grade_ord,-0.3447,92189
3.1_correlation,row,spearman_Violation_Points_vs_Grade_ord,-0.3999,92189
3.1_correlation,row,pearson_Violation_Points_vs_Result_enc,0.5685,92189
3.1_correlation,row,spearman_Violation_Points_vs_Result_enc,0.7469,92189
3.1_correlation,row,pearson_Violation_Points_vs_Closed,0.0164,92189
3.1_correlation,row,spearman_Violation_Points_vs_Closed,0.0185,92189
3.1_correlation,row,pearson_Violation_Points_vs_is_red,0.6618,92189
3.1_correlation,row,spearman_Violation_Points_vs_is_red,0.7247,92189
3.1_correlation,row,pearson_Violation_Points_vs_is_blue,-0.06,92189
3.1_correlation,row,spearman_Violation_Points_vs_is_blue,0.14,92189
3.1_correlation,row,pearson_Risk_Category_vs_Grade_ord,-0.1373,92189
3.1_correlation,row,spearman_Risk_Category_vs_Grade_ord,-0.1586,92189
3.1_correlation,row,pearson_Risk_Category_vs_Result_enc,0.1754,92189
3.1_correlation,row,spearman_Risk_Category_vs_Result_enc,0.1982,92189
3.1_correlation,row,pearson_Risk_Category_vs_Closed,0.0068,92189
3.1_correlation,row,spearman_Risk_Category_vs_Closed,0.0072,92189
3.1_correlation,row,pearson_Risk_Category_vs_is_red,0.1229,92189
3.1_correlation,row,spearman_Risk_Category_vs_is_red,0.1309,92189
3.1_correlation,row,pearson_Risk_Category_vs_is_blue,0.0627,92189
3.1_correlation,row,spearman_Risk_Category_vs_is_blue,0.0629,92189
3.1_correlation,row,pearson_Grade_ord_vs_Result_enc,-0.4377,92189
3.1_correlation,row,spearman_Grade_ord_vs_Result_enc,-0.4699,92189
3.1_correlation,row,pearson_Grade_ord_vs_Closed,-0.0242,92189
3.1_correlation,row,spearman_Grade_ord_vs_Closed,-0.0215,92189
3.1_correlation,row,pearson_Grade_ord_vs_is_red,-0.305,92189
3.1_correlation,row,spearman_Grade_ord_vs_is_red,-0.3117,92189
3.1_correlation,row,pearson_Grade_ord_vs_is_blue,-0.0751,92189
3.1_correlation,row,spearman_Grade_ord_vs_is_blue,-0.0815,92189
3.1_correlation,row,pearson_Result_enc_vs_Closed,0.0181,92189
3.1_correlation,row,spearman_Result_enc_vs_Closed,0.0186,92189
3.1_correlation,row,pearson_Result_enc_vs_is_red,0.6402,92189
3.1_correlation,row,spearman_Result_enc_vs_is_red,0.6604,92189
3.1_correlation,row,pearson_Result_enc_vs_is_blue,0.0911,92189
3.1_correlation,row,spearman_Result_enc_vs_is_blue,0.0811,92189
3.1_correlation,row,pearson_Closed_vs_is_red,0.0172,92189
3.1_correlation,row,spearman_Closed_vs_is_red,0.0172,92189
3.1_correlation,row,pearson_Closed_vs_is_blue,-0.0044,92189
3.1_correlation,row,spearman_Closed_vs_is_blue,-0.0044,92189
3.1_correlation,row,pearson_is_red_vs_is_blue,-0.4968,92189
3.1_correlation,row,spearman_is_red_vs_is_blue,-0.4968,92189
3.1_correlation,inspection,pearson_Inspection_Score_vs_total_violation_pts,0.9999,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_total_violation_pts,0.9996,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_n_violations,0.8888,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_n_violations,0.975,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_has_red,0.672,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_has_red,0.8217,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_Risk_Category,0.1406,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_Risk_Category,0.1678,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_Grade_ord,-0.4434,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_Grade_ord,-0.4067,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_Result_enc,0.6319,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_Result_enc,0.8026,59893
3.1_correlation,inspection,pearson_Inspection_Score_vs_Closed,0.0287,59893
3.1_correlation,inspection,spearman_Inspection_Score_vs_Closed,0.0151,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_n_violations,0.8888,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_n_violations,0.9753,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_has_red,0.6722,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_has_red,0.8221,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_Risk_Category,0.1406,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_Risk_Category,0.1678,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_Grade_ord,-0.4435,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_Grade_ord,-0.407,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_Result_enc,0.6319,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_Result_enc,0.8027,59893
3.1_correlation,inspection,pearson_total_violation_pts_vs_Closed,0.0287,59893
3.1_correlation,inspection,spearman_total_violation_pts_vs_Closed,0.0151,59893
3.1_correlation,inspection,pearson_n_violations_vs_has_red,0.6496,59893
3.1_correlation,inspection,spearman_n_violations_vs_has_red,0.7578,59893
3.1_correlation,inspection,pearson_n_violations_vs_Risk_Category,0.142,59893
3.1_correlation,inspection,spearman_n_violations_vs_Risk_Category,0.1618,59893
3.1_correlation,inspection,pearson_n_violations_vs_Grade_ord,-0.4048,59893
3.1_correlation,inspection,spearman_n_violations_vs_Grade_ord,-0.3797,59893
3.1_correlation,inspection,pearson_n_violations_vs_Result_enc,0.6175,59893
3.1_correlation,inspection,spearman_n_violations_vs_Result_enc,0.7437,59893
3.1_correlation,inspection,pearson_n_violations_vs_Closed,0.022,59893
3.1_correlation,inspection,spearman_n_violations_vs_Closed,0.0128,59893
3.1_correlation,inspection,pearson_has_red_vs_Risk_Category,0.1529,59893
3.1_correlation,inspection,spearman_has_red_vs_Risk_Category,0.1626,59893
3.1_correlation,inspection,pearson_has_red_vs_Grade_ord,-0.3897,59893
3.1_correlation,inspection,spearman_has_red_vs_Grade_ord,-0.4,59893
3.1_correlation,inspection,pearson_has_red_vs_Result_enc,0.9276,59893
3.1_correlation,inspection,spearman_has_red_vs_Result_enc,0.9575,59893
