analysis,stat_aligned,row_stat_name,row_value,row_n,insp_stat_name,inspection_value,inspection_n
3.1_correlation,pearson_Closed_vs_is_blue,pearson_Closed_vs_is_blue,-0.0044,92189.0,,,
3.1_correlation,pearson_Closed_vs_is_red,pearson_Closed_vs_is_red,0.0172,92189.0,,,
3.1_correlation,pearson_Grade_ord_vs_Closed,pearson_Grade_ord_vs_Closed,-0.0242,92189.0,pearson_Grade_ord_vs_Closed,-0.0118,59893.0
3.1_correlation,pearson_Grade_ord_vs_Result_enc,pearson_Grade_ord_vs_Result_enc,-0.4377,92189.0,pearson_Grade_ord_vs_Result_enc,-0.3356,59893.0
3.1_correlation,pearson_Grade_ord_vs_is_blue,pearson_Grade_ord_vs_is_blue,-0.0751,92189.0,,,
3.1_correlation,pearson_Grade_ord_vs_is_red,pearson_Grade_ord_vs_is_red,-0.305,92189.0,,,
3.1_correlation,pearson_Inspection_Score_vs_Closed,pearson_Inspection_Score_vs_Closed,0.0517,92189.0,pearson_Inspection_Score_vs_Closed,0.0287,59893.0
3.1_correlation,pearson_Inspection_Score_vs_Grade_ord,pearson_Inspection_Score_vs_Grade_ord,-0.5369,92189.0,pearson_Inspection_Score_vs_Grade_ord,-0.4434,59893.0
3.1_correlation,pearson_Inspection_Score_vs_Red_Violation (is_red / has_red),pearson_Inspection_Score_vs_is_red,0.383,92189.0,pearson_Inspection_Score_vs_has_red,0.672,59893.0
3.1_correlation,pearson_Inspection_Score_vs_Result_enc,pearson_Inspection_Score_vs_Result_enc,0.6105,92189.0,pearson_Inspection_Score_vs_Result_enc,0.6319,59893.0
3.1_correlation,pearson_Inspection_Score_vs_Risk_Category,pearson_Inspection_Score_vs_Risk_Category,0.1753,92189.0,pearson_Inspection_Score_vs_Risk_Category,0.1406,59893.0
3.1_correlation,pearson_Inspection_Score_vs_Violation_Points (pts / total_pts),pearson_Inspection_Score_vs_Violation_Points,0.5282,92189.0,pearson_Inspection_Score_vs_total_violation_pts,0.9999,59893.0
3.1_correlation,pearson_Inspection_Score_vs_is_blue,pearson_Inspection_Score_vs_is_blue,0.1674,92189.0,,,
3.1_correlation,pearson_Inspection_Score_vs_n_violations,,,,pearson_Inspection_Score_vs_n_violations,0.8888,59893.0
3.1_correlation,pearson_Result_enc_vs_Closed,pearson_Result_enc_vs_Closed,0.0181,92189.0,pearson_Result_enc_vs_Closed,0.0166,59893.0
3.1_correlation,pearson_Result_enc_vs_is_blue,pearson_Result_enc_vs_is_blue,0.0911,92189.0,,,
3.1_correlation,pearson_Result_enc_vs_is_red,pearson_Result_enc_vs_is_red,0.6402,92189.0,,,
3.1_correlation,pearson_Risk_Category_vs_Closed,pearson_Risk_Category_vs_Closed,0.0068,92189.0,pearson_Risk_Category_vs_Closed,0.005,59893.0
3.1_correlation,pearson_Risk_Category_vs_Grade_ord,pearson_Risk_Category_vs_Grade_ord,-0.1373,92189.0,pearson_Risk_Category_vs_Grade_ord,-0.1115,59893.0
3.1_correlation,pearson_Risk_Category_vs_Result_enc,pearson_Risk_Category_vs_Result_enc,0.1754,92189.0,pearson_Risk_Category_vs_Result_enc,0.1231,59893.0
3.1_correlation,pearson_Risk_Category_vs_is_blue,pearson_Risk_Category_vs_is_blue,0.0627,92189.0,,,
3.1_correlation,pearson_Risk_Category_vs_is_red,pearson_Risk_Category_vs_is_red,0.1229,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_Closed,pearson_Violation_Points_vs_Closed,0.0164,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_Grade_ord,pearson_Violation_Points_vs_Grade_ord,-0.3447,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_Result_enc,pearson_Violation_Points_vs_Result_enc,0.5685,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_Risk_Category,pearson_Violation_Points_vs_Risk_Category,0.1387,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_is_blue,pearson_Violation_Points_vs_is_blue,-0.06,92189.0,,,
3.1_correlation,pearson_Violation_Points_vs_is_red,pearson_Violation_Points_vs_is_red,0.6618,92189.0,,,
